_id,ปริมาณการใช้รวมต่อปี,ลำดับหมวดอุตสาหกรรม,หมวดอุตสาหกรรม,จังหวัด
1,80.5144,2,อุตสาหกรรมอาหาร,กระบี่
2,20000161.42,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,กระบี่
3,32023.09,12,ผลิตภัณฑ์จากปิโตรเลียม,กระบี่
4,62974.021,13,ยางและผลิตภัณฑ์ยาง,กระบี่
5,2,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,กระบี่
6,1658.423,21,การผลิตอื่นๆ,กระบี่
7,94,1,ผลิตภัณฑ์จากพืช,กรุงเทพมหานคร
8,23149.99255,2,อุตสาหกรรมอาหาร,กรุงเทพมหานคร
9,52.5896,3,อุตสาหกรรมเครื่องดื่ม,กรุงเทพมหานคร
10,470.974843,4,สิ่งทอ,กรุงเทพมหานคร
11,1.06,5,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,กรุงเทพมหานคร
12,77394.7,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,กรุงเทพมหานคร
13,2.6255,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,กรุงเทพมหานคร
14,72.546,8,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,กรุงเทพมหานคร
15,511.82787,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,กรุงเทพมหานคร
16,18091.63531,10,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,กรุงเทพมหานคร
17,160609.7865,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,กรุงเทพมหานคร
18,11724675.27,12,ผลิตภัณฑ์จากปิโตรเลียม,กรุงเทพมหานคร
19,35803.068,13,ยางและผลิตภัณฑ์ยาง,กรุงเทพมหานคร
20,16009.04842,14,ผลิตภัณฑ์พลาสติก,กรุงเทพมหานคร
21,2009.887,15,ผลิตภัณฑ์อโลหะ,กรุงเทพมหานคร
22,4574.212,16,ผลิตโลหะขั้นมูลฐาน,กรุงเทพมหานคร
23,1865.805,17,ผลิตภัณฑ์โลหะ,กรุงเทพมหานคร
24,8506.687345,18,ผลิตเครื่องจักรและเครื่องกล,กรุงเทพมหานคร
