วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
--,1,GI(E) 1-008,บริษัท อิเซวัน (ประเทศไทย) จำกัด,1,2566-12-10T00:00:00,ชลบุรี
--,2,GI(E) 1-009,โรงงานคอนกรีตผสมเสร็จ นิคมเหมราช,2,2566-12-10T00:00:00,ชลบุรี
--,3,GI(E) 1-010,บริษัท ซิตี้ สตีล จำกัด (มหาชน),3,2566-12-10T00:00:00,ชลบุรี
--,4,GI(E) 1-011,บริษัท พีเคที ฟู้ด เทรดดิ้ง จำกัด,4,2566-12-10T00:00:00,ชลบุรี
--,5,GI(E) 1-012,บริษัท หลินหยวน จำกัด,5,2566-12-10T00:00:00,ชลบุรี
--,6,GI(E) 1-013,บริษัท ตะวันออกสตีล จำกัด,6,2566-12-10T00:00:00,ชลบุรี
--,7,GI(E) 1-014,บริษัท โปรมาร์เก็ตติ้ง โฮมแอนด์เดคอร์ จำกัด,7,2566-12-10T00:00:00,ชลบุรี
--,8,GI(E) 1-015,บริษัท อิซาร่า เมทัล เทค จำกัด,8,2566-12-10T00:00:00,ชลบุรี
--,9,GI(E) 1-016,ช. โชคชัยการช่าง,9,2566-12-10T00:00:00,ชลบุรี
--,10,GI(E) 1-017,บริษัท ศิริกุลพาณิชย์ชลบุรี จำกัด,10,2566-12-10T00:00:00,ชลบุรี
--,11,GI(E) 1-018,บริษัท ซีเอส เมทอล จำกัด,11,2566-12-10T00:00:00,ชลบุรี
--,12,GI(E) 1-019,บริษัท จิ่วเหอไทย จำกัด,12,2566-12-10T00:00:00,ชลบุรี
--,13,GI(E) 1-020,บริษัท เจียซิง เอ็นเตอร์ไพรส์ จำกัด,13,2566-12-10T00:00:00,ชลบุรี
--,14,GI(E) 1-021,บริษัท บีไอคิว จำกัด,14,2566-12-10T00:00:00,ชลบุรี
--,15,GI(E) 1-022,บริษัท โรงสาคูไมตรีเจริญ จำกัด,15,2566-12-10T00:00:00,ชลบุรี
--,16,GI(E) 1-023,ชลบุรีกระเบื้องเคลือบ,16,2566-12-10T00:00:00,ชลบุรี
--,17,GI(E) 1-024,บริษัท บี.โอ.อุตสาหกรรม จำกัด,17,2566-12-10T00:00:00,ชลบุรี
--,18,GI(E) 1-025,บริษัท เซอร์วิสไทย โพรเกรส แมเนจเม็นท์ จำกัด,18,2566-12-10T00:00:00,ชลบุรี
--,19,GI(E) 1-026,บริษัท ห๋องจี๋ จำกัด,19,2566-12-10T00:00:00,ชลบุรี
--,20,GI(E) 1-027,บริษัท นิโอ รับเบอร์ ไทย จำกัด,20,2566-12-10T00:00:00,ชลบุรี
--,21,GI(E) 1-028,บริษัท ไอดีเอ อินดัสเทรียล จำกัด,21,2566-12-10T00:00:00,ชลบุรี
--,22,GI(E) 1-029,ล.สยามโครเมี่ยม,22,2566-12-10T00:00:00,ชลบุรี
--,23,GI(E) 1-030,บริษัท เอชซีเอ เอ็นเตอร์ไพรส์ จำกัด,23,2566-12-10T00:00:00,ชลบุรี
--,24,GI(E) 1-031,กมลวัชย์,24,2566-12-10T00:00:00,ชลบุรี
--,25,GI(E) 1-032,บริษัท อีซีทีไอ จำกัด,25,2566-12-10T00:00:00,ชลบุรี
--,26,GI(E) 1-033,บริษัท สตีล พลัส แฟบบริเคชั่น จำกัด,26,2566-12-10T00:00:00,ชลบุรี
--,27,GI(E) 1-034,บริษัท ถ่ง อี้ อินเตอร์เนชั่นแนล แมชชีนเนอรี่ จำกัด,27,2566-12-10T00:00:00,ชลบุรี
--,28,GI(E) 1-035,ห้างหุ้นส่วนจำกัด แสงไทยรีไซเคิล,28,2566-12-10T00:00:00,ชลบุรี
--,29,GI(E) 1-036,บริษัท ยูจิน เทคโน (ประเทศไทย) จำกัด,29,2566-12-10T00:00:00,ชลบุรี
--,30,GI(E) 1-037,บริษัท พันทวี มารีน จำกัด,30,2566-12-10T00:00:00,ชลบุรี
--,31,GI(E) 1-038,บริษัท ซันสิริ วูดแลนด์ จำกัด,31,2566-12-10T00:00:00,ชลบุรี
--,32,GI(E) 1-039,บริษัท เออีดี แฟบริเคชั่น จำกัด,32,2566-12-10T00:00:00,ชลบุรี
--,33,GI(E) 1-040,บริษัท โรงงานไทยเครื่องเคลือบชลบุรี จำกัด,33,2566-12-10T00:00:00,ชลบุรี
--,34,GI(E) 1-041,บริษัท โฟร์ซันส์ อีสเทิร์น สตีล จำกัด,34,2566-12-10T00:00:00,ชลบุรี
--,35,GI(E) 1-042,บริษัท บายโปรดักส์สตีล จำกัด,35,2566-12-10T00:00:00,ชลบุรี
--,36,GI(E) 1-043,บริษัท เฟมเอ็นจิเนียริ่ง จำกัด,36,2566-12-10T00:00:00,ชลบุรี
--,37,GI(E) 1-044,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),37,2566-12-10T00:00:00,ชลบุรี
--,38,GI(E) 1-045,ห้างหุ้นส่วนจำกัด ไกรบูรพา,38,2566-12-10T00:00:00,ชลบุรี
--,39,GI(E) 1-046,บริษัท ถนัดศรีทวีคูณรุ่งเรือง(14) จำกัด,39,2566-12-10T00:00:00,ชลบุรี
--,40,GI(E) 1-047,นายกัณฑ์เอนก ตั้งกิจทนงศักดิ์,40,2566-12-10T00:00:00,ชลบุรี
--,41,GI(E) 1-048,บริษัท ดับบลิวเอชเอ โซล่าร์ จำกัด,41,2566-12-10T00:00:00,ชลบุรี
--,42,GI(E) 1-049,บริษัท ซอง จิ (ประเทศไทย) จำกัด,42,2566-12-10T00:00:00,ชลบุรี
--,43,GI(E) 1-050,บริษัท ไทยอีสเทิร์น ท้อปซีดส์ ออยล์ จำกัด,43,2566-12-10T00:00:00,ชลบุรี
--,44,GI(E) 1-051,บริษัท นิว เซอร์กิต เอ็นจิเนียริ่ง จำกัด,44,2566-12-10T00:00:00,ชลบุรี
--,45,GI(E) 1-052,บริษัท เอเซีย เมทัล จำกัด (มหาชน),45,2566-12-10T00:00:00,ชลบุรี
--,46,GI(E) 1-053,บริษัท กรุงเทพถาดไข่ จำกัด,46,2566-12-10T00:00:00,ชลบุรี
--,47,GI(E) 1-054,บริษัท จือ เปิ่น อินดัสทรี จำกัด,47,2566-12-10T00:00:00,ชลบุรี
--,48,GI(E) 1-055,บริษัท มิสเตอร์ สตีลเลอร์ จำกัด,48,2566-12-10T00:00:00,ชลบุรี
--,49,GI(E) 1-056,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),49,2566-12-10T00:00:00,ชลบุรี
--,50,GI(E) 1-057,นายสายชล แก่นสิงห์,50,2566-12-10T00:00:00,ชลบุรี
--,51,GI(E) 1-058,บริษัท กรีน คาร์ตอนบ๊อกซ์ จำกัด,51,2566-12-10T00:00:00,ชลบุรี
--,52,GI(E) 1-059,บริษัท โอ้ ลา ลา แพคเกจจิ้ง จำกัด,52,2566-12-10T00:00:00,ชลบุรี
--,53,GI(E) 1-060,บริษัท วนชัย กรุ๊ป จำกัด (มหาชน),53,2566-12-10T00:00:00,ชลบุรี
--,54,GI(E) 1-061,บริษัท ซูมิรับเบอร์ ไทยอีสเทิร์น คอร์ปอเรชั่น จำกัด,54,2566-12-10T00:00:00,ชลบุรี
--,55,GI(E) 1-062,บริษัท เจ็ท อินดัสตรีส์ (ประเทศไทย) จำกัด,55,2566-12-10T00:00:00,ชลบุรี
--,56,GI(E) 1-063,บริษัท เซเรนิตี้ ชิปยาร์ด จำกัด,56,2566-12-10T00:00:00,ชลบุรี
--,57,GI(E) 1-064,บริษัท ชลบุรี ธนาคม จำกัด,57,2566-12-10T00:00:00,ชลบุรี
--,58,GI(E) 1-065,บริษัท ไทย คอมโพสิท จำกัด ,58,2566-12-10T00:00:00,ชลบุรี
--,59,GI(E) 1-066,บริษัท ปาร์ติเกิ้ล แพลนเนอร์ จำกัด,59,2566-12-10T00:00:00,ชลบุรี
--,60,GI(E) 1-067,บริษัท พิณ อินเตอร์เนชั่นแนล จำกัด,60,2566-12-10T00:00:00,ชลบุรี
--,61,GI(E) 1-068,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),61,2566-12-10T00:00:00,ชลบุรี
--,62,GI(E) 1-069,บริษัท เอส.เคเอส.ค้ากระดาษ จำกัด,62,2566-12-10T00:00:00,ชลบุรี
--,63,GI(E) 1-070,บริษัท เอเพ็กซ์ ทูลส์ จำกัด,63,2566-12-10T00:00:00,ชลบุรี
--,64,GI(E) 1-103,บริษัท อาซาฮี ไดมอนด์ (ประเทศไทย) จำกัด,64,2566-03-11T00:00:00,ชลบุรี
--,65,GI(E) 1-112,บริษัท สยาม ซัน เอ็นจิเนียริ่ง จำกัด,65,2566-06-11T00:00:00,ชลบุรี
--,66,GI(E) 1-279,บริษัท นิสสิน เทนนิคเคิล เอเซีย จำกัด,66,2566-11-22T00:00:00,ชลบุรี
--,67,GI(E) 1-289,เพิ่มทรัพย์ รีไซเคิล,67,2566-11-24T00:00:00,ชลบุรี
--,68,GI(E) 1-290,บริษัท เอสเอ็มที 54 จำกัด,68,2566-11-24T00:00:00,ชลบุรี
--,69,GI(E) 1-291,บริษัท นพรุจ รีไซเคิล จำกัด,69,2566-11-24T00:00:00,ชลบุรี
