ค่าของข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
0,สำนักงานขนส่งจังหวัดชุมพร,16,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถพ่วง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,17,2561,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์สาธารณะ,ชุมพร,คัน
"3,531",สำนักงานขนส่งจังหวัดชุมพร,18,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,คัน
10,สำนักงานขนส่งจังหวัดชุมพร,19,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ชุมพร,คัน
"3,540",สำนักงานขนส่งจังหวัดชุมพร,20,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,21,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สามล้อส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,22,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างระหว่างจังหวัด,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,23,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,24,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สี่ล้อเล็กรับจ้าง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,25,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างสามล้อ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,26,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการธุรกิจ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,27,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการทัศนาจร,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,28,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการให้เช่า,ชุมพร,คัน
"11,065",สำนักงานขนส่งจังหวัดชุมพร,29,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์,ชุมพร,คัน
175,สำนักงานขนส่งจังหวัดชุมพร,30,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถแทรกเตอร์,ชุมพร,คัน
4,สำนักงานขนส่งจังหวัดชุมพร,31,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถบดถนน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,32,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถใช้งานเกษตรกรรม,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,33,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถพ่วง,ชุมพร,คัน
2,สำนักงานขนส่งจังหวัดชุมพร,34,2562,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์สาธารณะ,ชุมพร,คัน
"2,807",สำนักงานขนส่งจังหวัดชุมพร,35,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,คัน
18,สำนักงานขนส่งจังหวัดชุมพร,36,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ชุมพร,คัน
"3,112",สำนักงานขนส่งจังหวัดชุมพร,37,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,38,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สามล้อส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,39,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างระหว่างจังหวัด,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,40,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,41,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สี่ล้อเล็กรับจ้าง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,42,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างสามล้อ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,43,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการธุรกิจ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,44,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการทัศนาจร,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,45,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการให้เช่า,ชุมพร,คัน
"10,014",สำนักงานขนส่งจังหวัดชุมพร,46,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์,ชุมพร,คัน
156,สำนักงานขนส่งจังหวัดชุมพร,47,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถแทรกเตอร์,ชุมพร,คัน
1,สำนักงานขนส่งจังหวัดชุมพร,48,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถบดถนน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,49,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถใช้งานเกษตรกรรม,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,50,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถพ่วง,ชุมพร,คัน
4,สำนักงานขนส่งจังหวัดชุมพร,51,2563,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์สาธารณะ,ชุมพร,คัน
"3,060",สำนักงานขนส่งจังหวัดชุมพร,52,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,คัน
9,สำนักงานขนส่งจังหวัดชุมพร,53,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ชุมพร,คัน
"3,557",สำนักงานขนส่งจังหวัดชุมพร,54,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บรรทุกส่วนบุคคล,ชุมพร,คัน
1,สำนักงานขนส่งจังหวัดชุมพร,55,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สามล้อส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,56,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างระหว่างจังหวัด,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,57,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,58,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สี่ล้อเล็กรับจ้าง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,59,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างสามล้อ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,60,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการธุรกิจ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,61,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการทัศนาจร,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,62,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการให้เช่า,ชุมพร,คัน
"11,282",สำนักงานขนส่งจังหวัดชุมพร,63,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์,ชุมพร,คัน
191,สำนักงานขนส่งจังหวัดชุมพร,64,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถแทรกเตอร์,ชุมพร,คัน
10,สำนักงานขนส่งจังหวัดชุมพร,65,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถบดถนน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,66,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถใช้งานเกษตรกรรม,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,67,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถพ่วง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,68,2564,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์สาธารณะ,ชุมพร,คัน
"3,326",สำนักงานขนส่งจังหวัดชุมพร,69,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,คัน
5,สำนักงานขนส่งจังหวัดชุมพร,70,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ชุมพร,คัน
"3,592",สำนักงานขนส่งจังหวัดชุมพร,71,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,72,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สามล้อส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,73,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างระหว่างจังหวัด,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,74,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,75,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สี่ล้อเล็กรับจ้าง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,76,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างสามล้อ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,77,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการธุรกิจ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,78,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการทัศนาจร,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,79,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการให้เช่า,ชุมพร,คัน
"13,454",สำนักงานขนส่งจังหวัดชุมพร,80,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์,ชุมพร,คัน
148,สำนักงานขนส่งจังหวัดชุมพร,81,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถแทรกเตอร์,ชุมพร,คัน
3,สำนักงานขนส่งจังหวัดชุมพร,82,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถบดถนน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,83,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถใช้งานเกษตรกรรม,ชุมพร,คัน
1,สำนักงานขนส่งจังหวัดชุมพร,84,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถพ่วง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,85,2565,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์สาธารณะ,ชุมพร,คัน
"3,344",สำนักงานขนส่งจังหวัดชุมพร,86,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,คัน
24,สำนักงานขนส่งจังหวัดชุมพร,87,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ชุมพร,คัน
"2,972",สำนักงานขนส่งจังหวัดชุมพร,88,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,89,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สามล้อส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,90,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างระหว่างจังหวัด,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,91,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,92,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สี่ล้อเล็กรับจ้าง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,93,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างสามล้อ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,94,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการธุรกิจ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,95,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการทัศนาจร,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,96,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการให้เช่า,ชุมพร,คัน
"14,764",สำนักงานขนส่งจังหวัดชุมพร,97,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์,ชุมพร,คัน
59,สำนักงานขนส่งจังหวัดชุมพร,98,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถแทรกเตอร์,ชุมพร,คัน
8,สำนักงานขนส่งจังหวัดชุมพร,99,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถบดถนน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,100,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถใช้งานเกษตรกรรม,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,101,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถพ่วง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,102,2566,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์สาธารณะ,ชุมพร,คัน
"2,447",สำนักงานขนส่งจังหวัดชุมพร,103,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,คัน
37,สำนักงานขนส่งจังหวัดชุมพร,104,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ชุมพร,คัน
"1,692",สำนักงานขนส่งจังหวัดชุมพร,105,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,106,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สามล้อส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,107,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างระหว่างจังหวัด,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,108,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,109,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์สี่ล้อเล็กรับจ้าง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,110,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างสามล้อ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,111,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการธุรกิจ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,112,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการทัศนาจร,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,113,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถยนต์บริการให้เช่า,ชุมพร,คัน
"12,543",สำนักงานขนส่งจังหวัดชุมพร,114,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์,ชุมพร,คัน
34,สำนักงานขนส่งจังหวัดชุมพร,115,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถแทรกเตอร์,ชุมพร,คัน
5,สำนักงานขนส่งจังหวัดชุมพร,116,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถบดถนน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,117,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถใช้งานเกษตรกรรม,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,118,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถพ่วง,ชุมพร,คัน
2,สำนักงานขนส่งจังหวัดชุมพร,119,2567,จำนวนรถจดทะเบียนใหม่ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์สาธารณะ,ชุมพร,คัน
