จำนวน,_id,ปี,เพศ,ไตรมาส,ชั่วโมงทำงาน/สัปดาห์
" 392,987 ",1,2561,รวม,ไตรมาส 1,ยอดรวม
" 381,300 ",2,2561,รวม,ไตรมาส 2,ยอดรวม
" 393,255 ",3,2561,รวม,ไตรมาส 3,ยอดรวม
" 393,866 ",4,2561,รวม,ไตรมาส 4,ยอดรวม
" 390,352 ",5,2561,รวม,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 216,651 ",6,2561,ชาย                         ,ไตรมาส 1,ยอดรวม
" 212,107 ",7,2561,ชาย                         ,ไตรมาส 2,ยอดรวม
" 217,789 ",8,2561,ชาย                         ,ไตรมาส 3,ยอดรวม
" 216,320 ",9,2561,ชาย                         ,ไตรมาส 4,ยอดรวม
" 215,717 ",10,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 176,336 ",11,2561,หญิง                        ,ไตรมาส 1,ยอดรวม
" 169,194 ",12,2561,หญิง                        ,ไตรมาส 2,ยอดรวม
" 175,466 ",13,2561,หญิง                        ,ไตรมาส 3,ยอดรวม
" 177,546 ",14,2561,หญิง                        ,ไตรมาส 4,ยอดรวม
" 174,635 ",15,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 2,966 ",16,2561,รวม,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
" 1,326 ",17,2561,รวม,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
,18,2561,รวม,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
" 2,004 ",19,2561,รวม,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
" 1,574 ",20,2561,รวม,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
" 1,640 ",21,2561,ชาย                         ,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
,22,2561,ชาย                         ,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
,23,2561,ชาย                         ,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
" 1,207 ",24,2561,ชาย                         ,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
