จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการ,จังหวัด
10548.57,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,1,2569,กล้วยหอมทอง,ไร่,เสิงสาง,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
6,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,2,2569,กล้วยหอมทอง,ไร่,บ้านเหลื่อม,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
0.25,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,3,2569,กล้วยหอมทอง,ไร่,โนนสูง,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
38,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,4,2569,กล้วยหอมทอง,ไร่,ปักธงชัย,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
6,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,5,2569,กล้วยหอมทอง,ไร่,สูงเนิน,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
223,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,6,2569,กล้วยหอมทอง,ไร่,สีคิ้ว,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
3623,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,7,2568,กล้วยหอมทอง,ไร่,เสิงสาง,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
8,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,8,2568,กล้วยหอมทอง,ไร่,บ้านเหลื่อม,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
38,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,9,2568,กล้วยหอมทอง,ไร่,ปักธงชัย,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
6,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,10,2568,กล้วยหอมทอง,ไร่,สูงเนิน,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
118,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,11,2568,กล้วยหอมทอง,ไร่,สีคิ้ว,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
2108,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,12,2567,กล้วยหอมทอง,ไร่,เสิงสาง,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
4,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,13,2567,กล้วยหอมทอง,ไร่,บ้านเหลื่อม,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
1,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,14,2567,กล้วยหอมทอง,ไร่,สูงเนิน,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
33,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,15,2567,กล้วยหอมทอง,ไร่,สีคิ้ว,เนื้อที่เพาะปลูกกล้วยหอมทอง,นครราชสีมา
