ข้าวนาปี,_id,ปี,กล้วย,ลำไย,อำเภอ
,1,2561,,,เมืองตาก
,2,2562,,,เมืองตาก
1000.0,3,2563,,,เมืองตาก
3302.0,4,2564,,,เมืองตาก
1135.25,5,2565,9.5,3.5,เมืองตาก
3060.75,6,2566,0.5,,เมืองตาก
4.0,7,2567,0.5,0.25,เมืองตาก
,8,2561,,,บ้านตาก
,9,2562,,,บ้านตาก
,10,2563,,,บ้านตาก
542.0,11,2564,8.0,,บ้านตาก
489.75,12,2565,15.5,6.5,บ้านตาก
648.5,13,2566,1.0,2.0,บ้านตาก
982.75,14,2567,,,บ้านตาก
,15,2561,,,สามเงา
,16,2562,,100.0,สามเงา
10.0,17,2563,,4809.0,สามเงา
1392.0,18,2564,627.0,,สามเงา
3734.5,19,2565,13.25,84.75,สามเงา
5835.5,20,2566,1001.25,16.0,สามเงา
7790.75,21,2567,186.75,13.25,สามเงา
,22,2561,,,แม่ระมาด
,23,2562,,,แม่ระมาด
,24,2563,,,แม่ระมาด
510.0,25,2564,,,แม่ระมาด
,26,2565,,,แม่ระมาด
37.75,27,2566,,,แม่ระมาด
1325.25,28,2567,,,แม่ระมาด
,29,2561,,,ท่าสองยาง
,30,2562,,,ท่าสองยาง
,31,2563,,,ท่าสองยาง
103.0,32,2564,,,ท่าสองยาง
113.0,33,2565,,,ท่าสองยาง
668.5,34,2566,,,ท่าสองยาง
4327.08,35,2567,,,ท่าสองยาง
91.0,36,2561,,,แม่สอด
,37,2562,,,แม่สอด
,38,2563,,,แม่สอด
630.0,39,2564,,,แม่สอด
11.0,40,2565,7.0,,แม่สอด
38.5,41,2566,,,แม่สอด
711.5,42,2567,,,แม่สอด
3.0,43,2561,,,พบพระ
,44,2562,78.0,,พบพระ
,45,2563,,,พบพระ
460.0,46,2564,,,พบพระ
,47,2565,17.0,,พบพระ
,48,2566,,,พบพระ
262.25,49,2567,,,พบพระ
,50,2561,,,อุ้มผาง
,51,2562,,,อุ้มผาง
,52,2563,,,อุ้มผาง
1524.0,53,2564,,,อุ้มผาง
30.0,54,2565,,,อุ้มผาง
,55,2566,,,อุ้มผาง
704.0,56,2567,,,อุ้มผาง
,57,2561,,,วังเจ้า
,58,2562,,,วังเจ้า
,59,2563,,,วังเจ้า
83.0,60,2564,,,วังเจ้า
,61,2565,20.0,9.5,วังเจ้า
,62,2566,,2.0,วังเจ้า
5.25,63,2567,,,วังเจ้า
