จำนวน,_id,ปี,หน่วย,เพศ,จังหวัด,ประเภทแรงงาน,อาชีพ
8320,28,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
5520,29,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
1201,30,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
1621,31,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,เสมียน
88568,32,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
1145,33,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
3404,34,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
2814,35,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
11324,36,2561,คน,หญิง,สมุทรปราการ,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
23440,37,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
43085,38,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
39323,39,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
31366,40,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,เสมียน
38392,41,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
6486,42,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
69877,43,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
61491,44,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
29817,45,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
3683,46,2561,คน,ชาย,นนทบุรี,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
19472,47,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
45617,48,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
61857,49,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
60799,50,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,เสมียน
61407,51,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
2010,52,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
13235,53,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
13148,54,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
34808,55,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
3288,56,2561,คน,หญิง,นนทบุรี,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
10681,57,2561,คน,ชาย,นนทบุรี,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
2445,58,2561,คน,ชาย,นนทบุรี,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
3081,59,2561,คน,ชาย,นนทบุรี,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
56808,60,2561,คน,ชาย,นนทบุรี,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
7175,61,2561,คน,ชาย,นนทบุรี,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
23555,62,2561,คน,ชาย,นนทบุรี,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
44556,63,2561,คน,ชาย,นนทบุรี,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
9047,64,2561,คน,ชาย,นนทบุรี,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
1335,65,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
6637,66,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
1595,67,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
383,68,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,เสมียน
83223,69,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
5072,70,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
5671,71,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
3668,72,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
8444,73,2561,คน,หญิง,นนทบุรี,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
25332,74,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
28704,75,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
28868,76,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
21132,77,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,เสมียน
38087,78,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
456,79,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
59734,80,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
72998,81,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
35155,82,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
2251,83,2561,คน,ชาย,ปทุมธานี,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
24602,84,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
28562,85,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
28941,86,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
45116,87,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,เสมียน
58766,88,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
1140,89,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
15320,90,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
47791,91,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
47634,92,2561,คน,หญิง,ปทุมธานี,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
9443,93,2561,คน,ชาย,ปทุมธานี,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
5580,94,2561,คน,ชาย,ปทุมธานี,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
4153,95,2561,คน,ชาย,ปทุมธานี,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
63475,96,2561,คน,ชาย,ปทุมธานี,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
27970,97,2561,คน,ชาย,ปทุมธานี,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
28798,98,2561,คน,ชาย,ปทุมธานี,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
22553,99,2561,คน,ชาย,ปทุมธานี,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
16220,100,2561,คน,ชาย,ปทุมธานี,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
325,101,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
4183,102,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
1833,103,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
1103,104,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,เสมียน
74167,105,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
12785,106,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
13956,107,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
3389,108,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
14574,109,2561,คน,หญิง,ปทุมธานี,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
11752,110,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
10526,111,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
11432,112,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
9016,113,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,เสมียน
19067,114,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
1032,115,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
35629,116,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
54660,117,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
13265,118,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
6539,119,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
20348,120,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
12492,121,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
22633,122,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,เสมียน
20218,123,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
11502,124,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
43292,125,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
17014,126,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
3907,127,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
1444,128,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
332,129,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
26625,130,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
21742,131,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
27946,132,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
7797,133,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
9136,134,2561,คน,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
5471,135,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
759,136,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
739,137,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
1282,138,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,เสมียน
33375,139,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
8194,140,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
10506,141,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
1818,142,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
4188,143,2561,คน,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
1361,144,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
2792,145,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
2413,146,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
692,147,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,เสมียน
3474,148,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
864,149,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
7734,150,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
10654,151,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
5293,152,2561,คน,ชาย,อ่างทอง,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
769,153,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
4692,154,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
2362,155,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
2947,156,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,เสมียน
4939,157,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
999,158,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
3933,159,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
10172,160,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
4377,161,2561,คน,หญิง,อ่างทอง,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
789,162,2561,คน,ชาย,อ่างทอง,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
61,163,2561,คน,ชาย,อ่างทอง,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
486,164,2561,คน,ชาย,อ่างทอง,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
6043,165,2561,คน,ชาย,อ่างทอง,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
16454,166,2561,คน,ชาย,อ่างทอง,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
5415,167,2561,คน,ชาย,อ่างทอง,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
1608,168,2561,คน,ชาย,อ่างทอง,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
6711,169,2561,คน,ชาย,อ่างทอง,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
331,170,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
276,171,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
361,172,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
206,173,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,เสมียน
10435,174,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
13084,175,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
2784,176,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
357,177,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
4166,178,2561,คน,หญิง,อ่างทอง,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
2037,179,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
4611,180,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
2904,181,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
4445,182,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,เสมียน
10040,183,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
261,184,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
24291,185,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
20385,186,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
9518,187,2561,คน,ชาย,ลพบุรี,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
2110,188,2561,คน,หญิง,ลพบุรี,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
10784,189,2561,คน,หญิง,ลพบุรี,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
5857,190,2561,คน,หญิง,ลพบุรี,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
6452,191,2561,คน,หญิง,ลพบุรี,แรงงานในระบบ,เสมียน
