ประเภท,ชื่อ มอก. ภาษาไทย,_id,ลำดับ,ชื่อโรงงาน,ที่อยู่โรงงาน,เลข มอก.,ทะเบียนโรงงาน,เลขที่ใบอนุญาต,วันที่ออกใบอนุญาต,เลขภาษี,จังหวัด,ผู้รับใบอนุญาต
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,11,11,บริษัท เคเอส โกลเด้น จำกัด,89/9 หมู่1 ตำบลพระยาบันลือ อำเภอลาดบัวหลวง จังหวัดพระนครศรีอยุธยา,2424-2565, ,6832-40/2424,2023-05-11T00:00:00,135559012997,พระนครศรีอยุธยา,บริษัท เคเอส โกลเด้น จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,12,12,บริษัท ทีพีซีเอส จำกัด (มหาชน),624/5-8 หมู่11 ถนนสุขาภิบาล 8 ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี,2424-2565,10200600125342,6829-37/2424,2023-05-11T00:00:00,107537001447,ชลบุรี,บริษัท ทีพีซีเอส จำกัด (มหาชน)
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,13,13,บริษัท เอ็น.เอ็น.สกายเทรด จำกัด,55/45 หมู่4 ตำบลบึงคำพร้อย อำเภอลำลูกกา จังหวัดปทุมธานี,2424-2565,20130201325587,6827-35/2424,2023-05-11T00:00:00,105550062401,ปทุมธานี,บริษัท เอ็น.เอ็น.สกายเทรด จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,14,14,บริษัท ซีพี โซเชียลอิมแพคท์ จำกัด,100 หมู่9 ตำบลบางจาก อำเภอพระประแดง จังหวัดสมุทรปราการ,2424-2565,20110064325635,6825-34/2424,2023-05-11T00:00:00,105560204560,สมุทรปราการ,บริษัท ซีพี โซเชียลอิมแพคท์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,15,15,บริษัท ที.พี.พี ซัพพลาย เอ็นจิเนียริ่ง จำกัด,73/343 และ 31 ซอยสามัคคี 32 ถนนสามัคคี ตำบลท่าทราย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี,2424-2565, ,6830-38/2424,2023-05-15T00:00:00,125556022835,นนทบุรี,บริษัท ที.พี.พี ซัพพลาย เอ็นจิเนียริ่ง จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,16,16,บริษัท จูปิเตอร์ เมดิคัล ซัพพลาย จำกัด,"18/35, 18/36 หมู่5 ตำบลหนองดินแดง อำเภอเมืองนครปฐม จังหวัดนครปฐม",2424-2565, ,6846-41/2424,2023-05-18T00:00:00,105557058787,นครปฐม,บริษัท จูปิเตอร์ เมดิคัล ซัพพลาย จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,17,17,บริษัท บีแอนด์ที อินเตอร์ เทรด (2020) จำกัด,107 หมู่1 ตำบลสันพระเนตร อำเภอสันทราย จังหวัดเชียงใหม่,2424-2565, ,6855-42/2424,2023-05-19T00:00:00,505563011572,เชียงใหม่,บริษัท บีแอนด์ที อินเตอร์ เทรด (2020) จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,18,18,บริษัท ศุภโชค เมท เมดิคอล จำกัด,909 หมู่15 ตำบลศิลา อำเภอเมืองขอนแก่น จังหวัดขอนแก่น,2424-2565, ,6859-43/2424,2023-05-23T00:00:00,405557002096,ขอนแก่น,บริษัท ศุภโชค เมท เมดิคอล จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,19,19,ห้างหุ้นส่วนจำกัด ยูโฟเรีย อินเตอร์เทรด,300/202 หมู่10 ตำบลแม่เหียะ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่,2424-2565, ,6861-45/2424,2023-05-24T00:00:00,503563002369,เชียงใหม่ ,ห้างหุ้นส่วนจำกัด ยูโฟเรีย อินเตอร์เทรด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,20,20,บริษัท ทรู ไลน์ เมด จำกัด ,80 หมู่4 ตำบลปากน้ำกระแส อำเภอแกลง จังหวัดระยอง,2424-2565,10210105925641,6860-44/2424,2023-05-24T00:00:00,105545064477,ระยอง,บริษัท ทรู ไลน์ เมด จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,21,21,บริษัท คลีนสแตท (ประเทศไทย) จำกัด,207 หมู่1 ซอย- ถนน- ตำบลบ้านเลน อำเภอบางปะอิน จังหวัดพระนครศรีอยุธยา,2424-2565,82120000125507,6897-47/2424,2023-05-31T00:00:00,135546000049,พระนครศรีอยุธยา,บริษัท คลีนสแตท(ประเทศไทย) จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,22,22,ห้างหุ้นส่วนจำกัด ธวัชแมชชีนเทค,228 หมู่10 ตำบลบ้านกลาง อำเภอเมืองลำพูน จังหวัดลำพูน,2424-2565, ,6828-36/2424,2023-06-01T00:00:00,513548000482,ลำพูน,ห้างหุ้นส่วนจำกัด ธวัชแมชชีนเทค
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,23,23,บริษัท เอ็มเมอรัลต์ นอนวูเว่น อินเตอร์เนชั่นแนล จำกัด,"88,88/1 หมู่2 ซอย- ถนน- ตำบลหนองชุมพลเหนือ อำเภอเขาย้อย จังหวัดเพชรบุรี",2424-2565,20760000425574,6903-48/2424,2023-06-07T00:00:00,735544000844,เพชรบุรี,บริษัท เอ็มเมอรัลด์ นอนวูเว่น อินเตอร์เนชั่นแนล จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,24,24,บริษัท ชิน แด อุน ไทย จำกัด,43 หมู่4 ถนนเทพรัตน ตำบลบางเสาธง อำเภอบางเสาธง จังหวัดสมุทรปราการ,2424-2565,20110154225638,6881-46/2424,2023-06-08T00:00:00,115552001183,สมุทรปราการ,บริษัท ชิน แด อุน ไทย จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,25,25,บริษัท เมดิเชน จำกัด,444 หมู่6 ตำบลพังขว้าง อำเภอเมืองสกลนคร จังหวัดสกลนคร,2424-2565,20470493725643,6905-49/2424,2023-06-09T00:00:00,475560000295,สกลนคร,บริษัท เมดิเชน จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,26,26,บริษัท เอ็มไนน์ เมดิคอล อีควิปเม้นท์ จำกัด,4/5 ซอยวัฒนานิเวศน์ 3 แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร,2424-2565, ,6916-50/2424,2023-06-09T00:00:00,105563095621,กรุงเทพมหานคร,บริษัท เอ็มไนน์ เมดิคอล อีควิปเม้นท์ จำกัด
