_id,amp,year,value,unit
1,รวม,2564,874,แห่ง
2,เมืองขอนแก่น,2564,383,แห่ง
3,บ้านฝาง,2564,7,แห่ง
4,พระยืน,2564,19,แห่ง
5,หนองเรือ,2564,26,แห่ง
6,ชุมแพ,2564,68,แห่ง
7,สีชมพู,2564,6,แห่ง
8,น้ำพอง,2564,83,แห่ง
9,อุบลรัตน์,2564,7,แห่ง
10,กระนวน,2564,36,แห่ง
11,บ้านไผ่,2564,75,แห่ง
12,เปือยน้อย,2564,1,แห่ง
13,พล,2564,37,แห่ง
14,แวงใหญ่,2564,5,แห่ง
15,แวงน้อย,2564,5,แห่ง
16,หนองสองห้อง,2564,10,แห่ง
17,ภูเวียง,2564,13,แห่ง
18,มัญจาคีรี,2564,17,แห่ง
19,ชนบท,2564,6,แห่ง
20,เขาสวนกวาง,2564,10,แห่ง
21,ภูผาม่าน,2564,11,แห่ง
22,ซำสูง,2564,10,แห่ง
23,โคกโพธิ์ไชย,2564,11,แห่ง
24,หนองนาคำ,2564,-,แห่ง
25,บ้านแฮด,2564,19,แห่ง
26,โนนศิลา,2564,8,แห่ง
27,เวียงเก่า,2564,1,แห่ง
