ค่าข้อมูล,ที่มา,_id,ปี,หน่วยนับ,อำเภอ,รายการ
767.64,สำนักงานเกษตรจังหวัดนครพนม,1,2561,กิโลกรัมต่อไร่,อำเภอเมืองนครพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,2,2561,กิโลกรัมต่อไร่,อำเภอปลาปาก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,3,2561,กิโลกรัมต่อไร่,อำเภอท่าอุเทน,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
600,สำนักงานเกษตรจังหวัดนครพนม,4,2561,กิโลกรัมต่อไร่,อำเภอบ้านแพง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,5,2561,กิโลกรัมต่อไร่,อำเภอธาตุพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,6,2561,กิโลกรัมต่อไร่,อำเภอเรณูนคร,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,7,2561,กิโลกรัมต่อไร่,อำเภอนาแก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,8,2561,กิโลกรัมต่อไร่,อำเภอศรีสงคราม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,9,2561,กิโลกรัมต่อไร่,อำเภอนาหว้า,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,10,2561,กิโลกรัมต่อไร่,อำเภอโพนสวรรค์,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,11,2561,กิโลกรัมต่อไร่,อำเภอนาทม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
-,สำนักงานเกษตรจังหวัดนครพนม,12,2561,กิโลกรัมต่อไร่,อำเภอวังยาง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
48.1,สำนักงานเกษตรจังหวัดนครพนม,13,2562,กิโลกรัมต่อไร่,อำเภอเมืองนครพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เก็บเกี่ยว
