จำนวน,_id,ปี,หน่วย,เพศ,จังหวัด,ประเภทแรงงาน,อาชีพ
34359,1,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
18197,2,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
50145,3,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
23818,4,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,เสมียน
75568,5,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
2025,6,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
123256,7,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
189807,8,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
55792,9,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
1715,10,2561,คน,ชาย,สมุทรปราการ,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
21488,11,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
36444,12,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
61240,13,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
56265,14,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,เสมียน
73397,15,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
51037,16,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
128900,17,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
67628,18,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
3557,19,2561,คน,หญิง,สมุทรปราการ,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
18168,20,2561,คน,ชาย,สมุทรปราการ,แรงงานนอกระบบ,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
738,21,2561,คน,ชาย,สมุทรปราการ,แรงงานนอกระบบ,ผู้ประกอบวิชาชีพด้านต่างๆ
699,22,2561,คน,ชาย,สมุทรปราการ,แรงงานนอกระบบ,เจ้าหน้าที่เทคนิค และผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่างๆ
54091,23,2561,คน,ชาย,สมุทรปราการ,แรงงานนอกระบบ,พนักงานบริการ และผู้จำหน่ายสินค้า
8046,24,2561,คน,ชาย,สมุทรปราการ,แรงงานนอกระบบ,ผู้ปฎิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ ประมง
10491,25,2561,คน,ชาย,สมุทรปราการ,แรงงานนอกระบบ,ช่างฝีมือ และผู้ปฎิบัติงานที่เกี่ยวข้อง
30759,26,2561,คน,ชาย,สมุทรปราการ,แรงงานนอกระบบ,ผู้ควบคุมเครื่องจักรโรงงาน และเครื่องจักร และผู้ประกอบการ     
10599,27,2561,คน,ชาย,สมุทรปราการ,แรงงานนอกระบบ,ผู้ประกอบอาชีพงานพื้นฐาน
