จำนวนโรงงาน,_id,ปี,ปริมาณ (ลบ.ม./วัน),อำเภอ,รายการ,cfac
54,1,2567,"50,040.40",เมืองชลบุรี,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,54
86,2,2567,"65,239.60",บ้านบึง,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,86
24,3,2567,"11,862.00",หนองใหญ่,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,24
13,4,2567,"7,050.00",บางละมุง,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,13
16,5,2567,0,พานทอง,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,16
30,6,2567,"29,970.00",พนัสนิคม,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,30
117,7,2567,"552,837.07",ศรีราชา,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,117
1,8,2567,0,เกาะสีชัง,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,1
4,9,2567,2,สัตหีบ,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,4
14,10,2567,"1,767.95",บ่อทอง,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,14
11,11,2567,559,เกาะจันทร์,น้ำทิ้งที่ระบายออกนอกบริเวณโรงงาน,11
