เนื้อที่เพาะปลูก,_id,ปี,หน่วยนับ,อำเภอ,รายการ
167252.63,1,2564/2565,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวนาปี
86015.54,2,2564/2565,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวนาปี
236339.22,3,2564/2565,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวนาปี
303143.14,4,2564/2565,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวนาปี
336294.99,5,2564/2565,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวนาปี
125135.79,6,2564/2565,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวนาปี
138292.8,7,2564/2565,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวนาปี
416352.06,8,2564/2565,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวนาปี
282123.99,9,2564/2565,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวนาปี
101940.5,10,2564/2565,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวนาปี
307005.97,11,2564/2565,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวนาปี
10735.56,12,2564/2565,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวนาปี
61357.95,13,2564/2565,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวนาปี
7784.19,14,2564/2565,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวนาปี
40024.17,15,2564/2565,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวนาปี
174825.83,16,2565/2566,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวนาปี
86568.45,17,2565/2566,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวนาปี
227606.32,18,2565/2566,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวนาปี
305497.78,19,2565/2566,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวนาปี
319735.48,20,2565/2566,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวนาปี
97053.36,21,2565/2566,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวนาปี
137299.96,22,2565/2566,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวนาปี
412331.52,23,2565/2566,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวนาปี
276118.29,24,2565/2566,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวนาปี
100648.1,25,2565/2566,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวนาปี
294118.03,26,2565/2566,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวนาปี
9925.42,27,2565/2566,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวนาปี
66930.25,28,2565/2566,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวนาปี
8781.69,29,2565/2566,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวนาปี
42458.17,30,2565/2566,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวนาปี
154778.25,31,2566/2567,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวนาปี
89173.0,32,2566/2567,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวนาปี
242587.0,33,2566/2567,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวนาปี
319521.0,34,2566/2567,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวนาปี
352574.0,35,2566/2567,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวนาปี
91217.0,36,2566/2567,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวนาปี
132795.01,37,2566/2567,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวนาปี
393902.0,38,2566/2567,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวนาปี
262568.0,39,2566/2567,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวนาปี
90648.0,40,2566/2567,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวนาปี
205479.0,41,2566/2567,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวนาปี
7528.0,42,2566/2567,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวนาปี
57923.5,43,2566/2567,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวนาปี
7813.0,44,2566/2567,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวนาปี
38063.0,45,2566/2567,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวนาปี
159020.13,46,2567/2568,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวนาปี
81767.71,47,2567/2568,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวนาปี
215269.39,48,2567/2568,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวนาปี
285794.57,49,2567/2568,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวนาปี
287552.13,50,2567/2568,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวนาปี
94455.92,51,2567/2568,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวนาปี
129962.21,52,2567/2568,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวนาปี
394139.27,53,2567/2568,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวนาปี
251067.97,54,2567/2568,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวนาปี
