Harvested area (rai),Crop Year,Production (ton),Yield per rai (kgs),_id,Vegetable Crops,Planted area (rai)
2509,2561,4785.0,1907,1,กระเทียมหัว,2509
2295,2561,6462.0,2815,2,กะหล่ำดอก,3168
16271,2561,43153.0,2652,3,กะหล่ำปลี,20488
845,2561,3735.0,4420,4,ขิง,1014
12546,2561,38858.0,3097,5,ผักกาดขาวปลี,17426
413,2561,410.0,993,6,ผักชีฝรั่ง,413
2074,2561,14068.0,6783,7,พริกขี้หนู,2074
854,2561,909.0,1064,8,พริกหยวก/พริกยักษ์,854
1874,2561,5356.0,2858,9,มะเขือเปราะ,1874
2989,2561,7006.0,2344,10,หน่อไม้ฝรั่ง,2989
7792,2561,28076.0,3603,11,พริกชี้ฟ้า,7792
2295,2561,6462.0,2815,12,กะหล่ำดอก,3168
16271,2561,43153.0,2652,13,กะหล่ำปลี,20488
845,2561,3735.0,4420,14,ขิง,1014
1379,2561,1960.0,1421,15,ซาโยเต้ (ฟักแม้ว),1379
981,2561,3687.0,3758,16,แตงกวา/แตงร้าน,982
1488,2561,1558.0,1047,17,ผักกวางตุ้ง,1571
12546,2561,38858.0,3097,18,ผักกาดขาวปลี,17426
413,2561,410.0,993,19,ผักชีฝรั่ง,413
854,2561,909.0,1064,20,พริกหยวก/พริกยักษ์,854
2989,2561,7006.0,2344,21,หน่อไม้ฝรั่ง,2989
3450,2561,7769.0,2252,22,หอมแดง,3457
7792,2561,28076.0,3603,23,พริกชี้ฟ้า,7792
2176,2562,1919.0,882,24,กระเทียมหัว,2246
1953,2562,7669.0,3927,25,กะหล่ำดอก,2162
11105,2562,74937.0,6748,26,กะหล่ำปลี,13041
1379,2562,1960.0,1421,27,ซาโยเต้ (ฟักแม้ว),1379
552,2562,1762.0,3192,28,แตงกวา/แตงร้าน,552
669,2562,854.0,1276,29,ผักกวางตุ้ง,834
10930,2562,33850.0,3097,30,ผักกาดขาวปลี,11186
2140,2562,1849.0,864,31,พริกขี้หนู,2140
384,2562,369.0,961,32,พริกหยวก/พริกยักษ์,385
2056,2562,6468.0,3146,33,มะเขือเปราะ,2060
2211,2562,772.0,349,34,หน่อไม้ฝรั่ง,2211
2871,2562,5464.0,1903,35,หอมแดง,2896
4224,2562,5960.0,1411,36,พริกชี้ฟ้า,7007
2176,2562,1919.0,882,37,กระเทียมหัว,2246
1953,2562,7669.0,3927,38,กะหล่ำดอก,2162
11105,2562,74937.0,6748,39,กะหล่ำปลี,13041
919,2562,5536.0,6024,40,ขิง,919
1379,2562,1960.0,1421,41,ซาโยเต้ (ฟักแม้ว),1379
552,2562,1762.0,3192,42,แตงกวา/แตงร้าน,552
669,2562,854.0,1276,43,ผักกวางตุ้ง,834
10930,2562,33850.0,3097,44,ผักกาดขาวปลี,11186
1184,2562,1352.0,1142,45,ผักชีฝรั่ง,1298
2140,2562,1849.0,864,46,พริกขี้หนู,2140
384,2562,369.0,961,47,พริกหยวก/พริกยักษ์,385
2056,2562,6468.0,3146,48,มะเขือเปราะ,2060
2211,2562,772.0,349,49,หน่อไม้ฝรั่ง,2211
2871,2562,5464.0,1903,50,หอมแดง,2896
2112,2563,2202.0,1043,51,กระเทียมหัว,2186
1757,2563,7307.0,4159,52,กะหล่ำดอก,1757
13444,2563,60256.0,4482,53,กะหล่ำปลี,13444
1039,2563,2140.0,3022,54,ขิง,1125
894,2563,2231.0,2495,55,ซาโยเต้ (ฟักแม้ว),894
776,2563,2368.0,3051,56,แตงกวา/แตงร้าน,776
311,2563,513.0,1651,57,ผักกวางตุ้ง,311
10883,2563,52804.0,4852,58,ผักกาดขาวปลี,10883
1401,2563,"2,49",1777,59,พริกหยวก/พริกยักษ์,1401
2996,2563,9632.0,3215,60,มะเขือเปราะ,2996
2368,2563,5456.0,2304,61,หน่อไม้ฝรั่ง,2368
2681,2563,5474.0,2042,62,หอมแดง,2741
2112,2563,2202.0,1043,63,กระเทียมหัว,2186
1757,2563,7307.0,4159,64,กะหล่ำดอก,1757
1039,2563,2140.0,3022,65,ขิง,1125
894,2563,2231.0,2495,66,ซาโยเต้ (ฟักแม้ว),894
776,2563,2368.0,3051,67,แตงกวา/แตงร้าน,776
